6001,880,1792
6002,844,1777
6003,807,1767
6004,822,1771
6005,751,1748
6007,693,1728
6008,718,1739
6009,623,1716
6010,678,1720
6011,542,1732
6013,530,1822
6015,525,1886
6019,531,1813
6021,537,1765
6023,542,1712
6025,546,1666
6027,545,1638
6029,553,1589
6111,457,1160
6105,401,1278
6109,384,1169
6115,521,1047
6121,724,910
6203,583,1477
6205,603,1415
6207,628,1345
6211,844,1197
6213,866,1136
6215,882,1072
6217,907,1007
6219,927,944
6220,887,1057
6221,939,903
6223,885,972
6225,828,976
6227,785,975
6401,698,587
6403,650,584
6404,638,579
6405,599,580
6407,547,573
6409,497,573
6411,426,566
6413,353,565
6414,382,507
6415,278,552
6416,385,472
6417,202,548
6418,392,443
6501,950,623
6503,929,548
6505,929,517
6507,920,465
6509,918,414
6511,913,363
6513,907,313
6515,902,267
6601,743,516
6603,743,462
6605,748,414
6607,750,391
6609,755,342
6701,820,275
6703,800,284
6705,749,297
6707,635,331
6709,583,346
6711,563,349
6713,492,373
6715,439,385
6716,421,390
6717,373,401
6719,304,423
6721,252,441
O61,563,1698
O62,561,1543
O63,570,1508
O64,648,1288
O65,611,1288
O66,562,1293
O67,511,1294
O68,447,1283
O610,668,1245
O611,721,1242
O612,781,1238
O613,830,1234
O614,506,1155
O615,513,1103
O616,558,1044
O617,624,1043
O618,671,1043
O619,692,1043
O620,684,1088
O621,733,981
O622,733,862
O623,738,817
O624,742,770
O625,747,723
O626,749,671
O627,753,623
O628,753,589
O629,817,589
O630,877,587
O631,932,592
O632,382,561
O633,391,419
S62,595,1587
S61,679,1143
S64,553,360
S65,906,577
S66,872,278
K61,613,1258
K62,502,1269
K63,729,537
P61,497,1231
P62,738,472
E61,747,1031
E62,546,568
B61W,679,1124
B61M,669,1173
B62W,581,348
